1488086656.00,270.00,0.00,3.00,270.00,0.00,270.00,3.00,270.00,96.40,20.70,0.00,0.00,90426.00,0.58,-19.09,22.37,970.00,10.00,260217.00,5244900.00,1131410.00
1488094208.00,135.00,1.50,9.00,45.00,0.60,262.00,7.50,45.00,90.10,22.80,0.00,0.00,90487.25,2.95,-19.09,22.37,971.30,10.00,260217.00,7291500.00,1805260.00
1488101632.00,45.00,4.50,9.00,45.00,2.80,34.00,6.00,23.00,67.10,27.40,0.00,0.00,90465.50,3.08,-19.09,22.37,972.80,11.00,260217.00,9333200.00,1754649.00
1488108672.00,90.00,3.10,3.70,90.00,0.10,1.00,3.70,90.00,72.10,28.60,0.00,0.00,90350.75,3.10,0.00,0.00,0.00,0.00,0.00,0.00,1006.00
1488111744.00,90.00,3.00,12.00,90.00,1.80,87.00,6.00,90.00,63.40,29.90,0.00,0.00,90206.00,3.07,-19.09,22.37,965.40,9.00,260217.00,12225200.00,1025396.00
1488119168.00,45.00,1.50,7.50,45.00,0.80,76.00,4.50,90.00,70.40,28.70,0.00,0.00,90090.50,2.61,-19.09,22.37,971.40,12.00,260217.00,14264000.00,1740313.00
1488126848.00,90.00,1.50,7.50,68.00,0.40,44.00,3.00,0.00,93.10,23.20,0.00,0.00,90183.50,0.00,-19.09,22.37,968.80,9.00,260217.00,16332500.00,1744237.00
1488132224.00,0.00,0.00,0.90,0.00,0.00,0.00,0.90,0.00,102.50,21.40,0.00,0.00,90290.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040.00
1488135296.00,270.00,0.00,4.50,225.00,0.80,274.00,3.00,270.00,97.60,22.10,0.07,0.07,90338.25,0.00,-19.09,22.37,967.20,11.00,260217.00,18544900.00,1138521.00
1488142720.00,225.00,3.00,6.00,225.00,1.70,226.00,4.50,270.00,99.30,21.30,0.00,0.00,90307.75,0.00,-19.09,22.37,971.90,12.00,260217.00,20592300.00,1723519.00
1488148992.00,225.00,0.00,0.00,0.00,0.00,242.00,0.00,0.00,97.60,21.90,0.00,0.00,90385.50,0.00,-19.09,22.37,967.70,8.00,260217.00,22423400.00,866088.00
1488157440.00,180.00,0.80,0.90,225.00,0.00,358.00,0.90,225.00,101.80,21.10,0.00,0.00,90259.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1014.00
1488160512.00,270.00,1.50,3.30,225.00,1.20,237.00,3.00,225.00,100.10,21.30,0.00,0.00,90231.00,0.00,-19.09,22.37,968.30,10.00,270217.00,1554000.00,1212102.00
1488168064.00,270.00,0.00,3.00,225.00,0.10,246.00,1.50,180.00,97.40,21.90,0.01,0.01,90240.50,0.00,-19.09,22.37,966.70,11.00,270217.00,4001400.00,1843767.00
