1491260738,256.00,-4.40,-8.32,-8.31,-8.30,-8.33
1491261415,256.00,-4.43,-8.31,-8.32,-8.33,-8.29
1491261416,256.00,-4.44,-8.29,-8.30,-8.30,-8.33
1491261416,256.00,-4.44,-8.30,-8.30,-8.32,-8.31
1491261416,256.00,-4.41,-8.29,-8.30,-8.32,-8.30
1491261416,256.00,-4.45,-8.32,-8.32,-8.31,-8.33
1491261417,256.00,-4.42,-8.32,-8.33,-8.33,-8.33
1491261417,256.00,-4.45,-8.31,-8.30,-8.29,-8.31
1491261417,256.00,-4.47,-8.33,-8.30,-8.32,-8.30
1491261495,256.00,-4.44,-8.29,-8.33,-8.30,-8.31
1491261573,256.00,-4.46,-8.31,-8.30,-8.32,-8.29
1491262262,256.00,-4.46,-8.33,-8.30,-8.30,-8.29
1491262262,256.00,-4.47,-8.33,-8.32,-8.31,-8.31
1491262263,256.00,-4.46,-8.31,-8.32,-8.33,-8.33
1491262263,256.00,-4.46,-8.30,-8.31,-8.30,-8.33
1491262263,256.00,-4.47,-8.31,-8.31,-8.30,-8.34
1491262263,256.00,-4.48,-8.31,-8.31,-8.31,-8.30
1491262264,256.00,-4.48,-8.31,-8.34,-8.34,-8.34
1491262264,256.00,-4.52,-8.30,-8.32,-8.34,-8.31
1491262342,256.00,-4.48,-8.30,-8.31,-8.31,-8.32
1491263031,256.00,-4.50,-8.31,-8.31,-8.31,-8.33
1491263031,256.00,-4.51,-8.33,-8.34,-8.32,-8.34
1491263031,256.00,-4.48,-8.32,-8.30,-8.33,-8.34
1491263031,256.00,-4.53,-8.31,-8.33,-8.31,-8.31
1491263032,256.00,-4.51,-8.33,-8.32,-8.31,-8.32
1491263032,256.00,-4.55,-8.34,-8.34,-8.34,-8.31
1491263032,256.00,-4.52,-8.32,-8.34,-8.35,-8.33
1491263032,256.00,-4.56,-8.35,-8.32,-8.31,-8.33
1491263111,256.00,-4.55,-8.32,-8.32,-8.34,-8.32
1491263274,256.00,-4.54,-8.31,-8.35,-8.33,-8.32
1491263275,256.00,-4.54,-8.35,-8.32,-8.32,-8.32
1491263353,256.00,-4.55,-8.35,-8.36,-8.32,-8.36
