ATLAS: 1491264694,256.00,519.70,183.70,0.84,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491264900,256.00,519.30,183.56,0.85,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491265118,256.00,518.70,183.40,0.86,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491265324,256.00,518.50,183.16,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491265524,256.00,518.00,183.05,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491265729,256.00,518.00,183.28,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491265935,256.00,517.30,183.30,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491266141,256.00,517.00,183.26,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491266341,256.00,516.70,183.63,0.87,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491266547,256.00,516.10,183.55,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491266752,256.00,516.00,183.79,0.87,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491266958,256.00,515.80,183.88,0.87,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491267156,256.00,515.00,183.84,0.86,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491267362,256.00,515.00,183.93,0.85,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491267568,256.00,515.40,185.58,0.76,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491267773,256.00,515.20,187.21,0.68,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491267973,256.00,514.50,187.58,0.62,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491268178,256.00,513.60,187.52,0.58,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491268384,256.00,512.50,186.85,0.58,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491268590,256.00,510.50,186.25,0.59,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491268790,256.00,509.40,185.35,0.61,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491268996,256.00,508.00,184.75,0.64,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491269201,256.00,506.50,184.13,0.65,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491269407,256.00,505.90,184.21,0.64,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491269606,256.00,505.30,183.63,0.67,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491269811,256.00,504.20,182.77,0.70,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491270017,256.00,503.70,182.13,0.73,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491270222,256.00,503.40,181.86,0.75,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
