1491380864.00,-1.00,4.30,53.20,-1.00,4.00,359.00,4.30,-1.00,84.00,11.50,nan,nan,56.27,56.27,99010.50,0.01,34.00,-117.36,245.10,8.00,50417.00,8283100.00,552362.00
1491380992.00,-1.00,4.30,53.20,-1.00,4.00,359.00,4.30,-1.00,83.70,11.50,nan,nan,58.48,58.48,99008.75,0.02,34.00,-117.36,246.70,7.00,50417.00,8294100.00,575416.00
1491382912.00,315.00,4.40,53.10,315.00,2.30,339.00,53.10,315.00,90.10,9.90,nan,nan,2.47,2.47,99006.50,0.02,0.00,0.00,0.00,0.00,50417.00,9005200.00,9235.00
1491382912.00,315.00,4.30,53.10,315.00,4.30,317.00,53.10,315.00,89.60,9.90,nan,nan,4.46,4.45,99008.25,0.03,0.00,0.00,0.00,3.00,50417.00,9015400.00,20512.00
1491383040.00,315.00,4.30,53.10,315.00,4.00,315.00,53.10,315.00,89.60,10.10,nan,nan,6.40,6.40,99003.00,0.03,34.00,-117.36,265.50,4.00,50417.00,9025600.00,33660.00
1491383040.00,315.00,4.30,53.10,315.00,4.00,315.00,53.10,315.00,89.20,10.20,nan,nan,8.38,8.38,99003.25,0.03,34.00,-117.36,252.40,5.00,50417.00,9035600.00,52744.00
1491383040.00,315.00,4.30,53.10,315.00,4.00,299.00,53.10,315.00,88.60,10.30,nan,nan,10.33,10.33,99007.50,0.02,34.00,-117.36,247.50,5.00,50417.00,9050000.00,69853.00
1491383168.00,315.00,4.30,53.10,315.00,4.00,277.00,53.10,315.00,88.70,10.40,nan,nan,12.28,12.28,99002.50,0.03,34.00,-117.36,242.80,5.00,50417.00,9060100.00,88331.00
1491383168.00,270.00,4.30,53.10,315.00,4.00,270.00,53.10,315.00,88.80,10.40,nan,nan,14.22,14.22,98995.50,0.02,34.00,-117.36,248.50,5.00,50417.00,9070100.00,108227.00
1491383296.00,270.00,4.30,53.10,315.00,4.00,270.00,53.10,315.00,89.20,10.60,nan,nan,16.67,16.66,98991.00,0.03,34.00,-117.36,244.30,5.00,50417.00,9082100.00,132043.00
